ID;Vorname;Nachname;Bundesministeramt;Geschlecht;Von;Bis;Geboren;Alter bei Antritt des Amts;Partei;Höchster Abschluss nach DQR;DQR Niveau;Link
#026;Heinrich;Windelen;Innerdeutsche Beziehungen;M;1983;1987;1921;62;CDU;Kaufmännische Ausbildung;4;https://de.wikipedia.org/wiki/Heinrich_Windelen#:~:text=Heinrich%20Windelen%20(*%2025.,1987%20Bundesminister%20f%C3%BCr%20innerdeutsche%20Beziehungen.
#027;Hans-Jürgen;Wischnewski;Wirtschaftliche Zusammenarbeit;M;1966;1968;1922;44;SPD;Allgemeine Hochschulreife (AHR);4;https://de.wikipedia.org/wiki/Hans-J%C3%BCrgen_Wischnewski
#028;Ilse;Aigner;Ernährung, Landwirtschaft und Verbraucherschutz;W;2008;2013;1964;44;CSU;Staatlich geprüfte Elektrotechnikerin;6;https://de.wikipedia.org/wiki/Ilse_Aigner
#029;Franziska;Giffey;Familie, Senioren, Frauen und Jugend;W;2018;2020;1978;40;SPD;Diplom-Verwaltungswirtin (F.H.);6;https://de.wikipedia.org/wiki/Franziska_Giffey#:~:text=Zusammen%20mit%20ihrem%20Bruder%20wuchs,den%20F%C3%A4chern%20Englisch%20und%20Franz%C3%B6sisch.
#030;Michael;Glos;Wirtschaft und Technologie;M;2005;2009;1944;61;CSU;Meister im Müllerhandwerk;6;https://de.wikipedia.org/wiki/Michael_Glos#:~:text=Michael%20Glos%20(*%2014.,der%20CDU%2FCSU%2DBundestagsfraktion.
#031;Kurt;Gscheidle;Post- und Fernmeldewesen;M;1980;1982;1924;56;SPD;REFA-Ingenieur;6;https://de.wikipedia.org/wiki/Kurt_Gscheidle
#032;Hubertus;Heil;Arbeit und Soziales;M;2018;2020;1972;46;SPD;Fernstudium Politologie und Soziologie;6;https://de.wikipedia.org/wiki/Hubertus_Heil#:~:text=Heil%20trat%201988%20der%20SPD,von%201991%20bis%201995%20war.&text=Seit%202009%20ist%20er%20Vorsitzender,Auf%20dem%20Bundesparteitag%20am%206.
#033;Dirk;Niebel;Wirtschaftliche Zusammenarbeit und Entwicklung;M;2009;2013;1963;46;FDP;Diplom-Verwaltungswirt (FH);6;https://de.wikipedia.org/wiki/Dirk_Niebel#:~:text=M%C3%A4rz%201963%20in%20Hamburg)%20ist,Entwicklung%20im%20Kabinett%20Merkel%20II.
#034;Walter ;Riester;Arbeit und Sozialordnung;M;1998;2002;1943;55;SPD;Fliesenlegermeister;6;https://de.wikipedia.org/wiki/Walter_Riester#:~:text=8%20Einzelnachweise-,Leben%20und%20Beruf,1960%20eine%20Ausbildung%20zum%20Fliesenleger.&text=Danach%20war%20Riester%20von%201980,IG%20Metall%20Baden%2DW%C3%BCrttemberg%20antrat.
#035;Helmut;Rohde;Bildung und Wissenschaft;M;1974;1978;1925;49;SPD;Studium (FH);6;https://de.wikipedia.org/wiki/Helmut_Rohde#:~:text=November%201925%20in%20Hannover%3B%20%E2%80%A0,Architekt%20und%20Pionier%20des%20Sozialstaats%E2%80%9C.
#036;Werner;Schwarz;Ernährung, Landwirtschaft und Forsten;M;1959;1965;1900;59;CDU;Studium Landwirtschaft;6;https://de.wikipedia.org/wiki/Werner_Schwarz_(Politiker,_1900)
#037;Manuela;Schwesig;Familie, Senioren, Frauen und Jugend;W;2013;2017;1974;39;SPD;Diplom-Finanzwirtin, FH;6;https://de.wikipedia.org/wiki/Manuela_Schwesig
#038;Peter;Altmaier;Wirtschaft und Energie;M;2018;2020;1958;60;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Peter_Altmaier#:~:text=Peter%20Altmaier%20(*%2018.,Davor%20war%20er%20%E2%80%93%20seit%2017.
#039;Daniel;Bahr;Gesundheit;M;2011;2013;1976;35;FDP;Studium Business Management mit dem Schwerpunkt International Health Care and Hospital Management (Abschluss: Master of Business Administration);7;https://de.wikipedia.org/wiki/Daniel_Bahr#:~:text=Daniel%20Bahr%20wurde%201976%20als,Bank%20in%20Schwerin%20und%20Hamburg.
#040;Gerhart;Baum;Inneres;M;1978;1982;1932;46;FDP;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Gerhart_Baum
#041;Ernst;Benda;Inneres;M;1968;1969;1925;43;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Ernst_Benda#:~:text=Benda%20war%20von%201967%20bis,Pr%C3%A4sident%20des%20Medienrats%20Berlin%2DBrandenburg.
#042;Friedrich;Bohl;Besondere Aufgaben;M;1991;1998;1945;46;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Friedrich_Bohl
#043;Jochen;Borchert;Ernährung, Landwirtschaft und Forsten;M;1993;1998;1940;53;CDU;Diplom-Ökonom (Univ.);7;https://de.wikipedia.org/wiki/Jochen_Borchert#:~:text=Jochen%20Borchert%20wurde%20in%20Nahrstedt,als%20Sohn%20eines%20Landwirts%20geboren.&text=Nach%20der%20Mittleren%20Reife%20absolvierte,hier%20den%20Abschluss%20als%20Agraringenieur.
#044;Rainer;Brüderle;Wirtschaft und Technologie;M;2009;2011;1945;64;FDP;Dimplom-Volkswirt (Univ.) ;7;https://de.wikipedia.org/wiki/Rainer_Br%C3%BCderle#:~:text=Rainer%20Br%C3%BCderle%20(*%2022.,2011%20stellvertretender%20Bundesvorsitzender%20der%20FDP.
#045;Edelgard;Bulmahn;Bildung und Forschung;W;1998;2005;1951;47;SPD;2tes Staatsexam Rechtswissenschaften ;7;https://de.wikipedia.org/wiki/Edelgard_Bulmahn#:~:text=Edelgard%20Bulmahn%20(*%204.,ihr%20als%20Bildungsministerin%20initiierten%20bzw.
#046;Wolfgang ;Clement;Wirtschaft und Arbeit;M;2002;2005;1940;62;SPD;1tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Wolfgang_Clement#:~:text=September%202020%20in%20Bonn)%20war,Wirtschaftsminister%20und%201998%20schlie%C3%9Flich%20Ministerpr%C3%A4sident.
#047;Herta;Däubler-Gmelin;Justiz;W;1998;2002;1943;55;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Herta_D%C3%A4ubler-Gmelin#:~:text=Herta%20D%C3%A4ubler%2DGmelin%20%5B%2D'%C9%A1me%CB%90li%CB%90n,2009%20dem%20Deutschen%20Bundestag%20an.
#048;Lothar;de Maiziere;Besondere Aufgaben;M;1990;1990;1940;50;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Lothar_de_Maizi%C3%A8re#:~:text=Lothar%20de%20Maizi%C3%A8re%20war%20seit,November%201989%20bis%201990%20Vorsitzender.
#049;Alexander;Dobrindt;Verkehr und digitale Infrastruktur;M;2013;2017;1970;43;CSU;Diplom-Soziologe (Univ.);7;https://de.wikipedia.org/wiki/Alexander_Dobrindt#:~:text=9%20Einzelnachweise-,Leben%20und%20Beruf,1995%20als%20Diplom%2DSoziologe%20beendete.&text=Alexander%20Dobrindt%20geh%C3%B6rt%20der%20r%C3%B6misch,verheiratet%20und%20hat%20einen%20Sohn.
#050;Hans ;Eichel;Finanzen;M;1999;2005;1941;58;SPD;2tes Staatsexam Lehrämter der Sekundarstufe II;7;https://de.wikipedia.org/wiki/Hans_Eichel#:~:text=Dezember%201941%20in%20Kassel)%20ist,bis%202005%20Bundesminister%20der%20Finanzen.
#051;Hans Arnold;Engelhard;Justiz;M;1982;1991;1934;48;FDP;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Hans_A._Engelhard#:~:text=Hans%20Arnold%20Engelhard%20(*%2016,Januar%201991%20Bundesminister%20der%20Justiz.
#052;Björn;Engholm;Bildung und Wissenschaft;M;1981;1982;1939;42;SPD;Diplom-Politologe (Univ.);7;https://de.wikipedia.org/wiki/Bj%C3%B6rn_Engholm
#053;Josef;Ertl;Ernährung, Landwirtschaft und Forsten;M;1969;1983;1925;44;FDP;Diplomlandwirt;7;https://de.wikipedia.org/wiki/Josef_Ertl#:~:text=Ertl%20wurde%20als%20Sohn%20eines,Soldat%20am%20Zweiten%20Weltkrieg%20teil.&text=Josef%20Ertl%20war%20seit%201953,Bundeslandwirtschaftsministers%2C%20Wilhelm%20Niklas%2C%20verheiratet.
#054;Andrea;Fischer;Gesundheit;W;1998;2001;1960;38;Bündnis 90/Die Grünen;Diplom Volkswirtschaftslehre  (Univ.);7;https://de.wikipedia.org/wiki/Andrea_Fischer_(Politikerin,_1960)
#055;Anke;Fuchs;Jugend, Familie und Gesundheit;W;1982;1982;1937;45;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Anke_Fuchs#:~:text=Anke%20Fuchs%20geb.,2002%20Vizepr%C3%A4sidentin%20des%20Deutschen%20Bundestages.
#056;Karl-Heinz;Funke;Ernährung, Landwirtschaft und Forsten;M;1998;2001;1946;52;SPD;2tes Staatsexam Lehrämter der Sekundarstufe II;7;https://de.wikipedia.org/wiki/Karl-Heinz_Funke#:~:text=Karl%2DHeinz%20Funke%20(*%2029,im%20Landkreis%20Friesland%20in%20Niedersachsen.
#057;Sigmar ;Gabriel;Auswärtiges;M;2017;2018;1959;58;SPD;2tes Staatsexam Lehrämter der Sekundarstufe II;7;https://de.wikipedia.org/wiki/Sigmar_Gabriel
#058;Hans-Dietrich;Genscher;Inneres;M;1969;1974;1927;42;FDP;2tes juristisches Staatsexam;7;https://de.wikipedia.org/wiki/Hans-Dietrich_Genscher
#059;Hermann;Gröhe;Gesundheit;M;2013;2018;1961;52;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Hermann_Gr%C3%B6he#:~:text=Hermann%20Gr%C3%B6he%20(*%2025.%20Februar,Gesundheit%20im%20Kabinett%20Merkel%20III.&text=Am%2028.%20Oktober%202009%20wurde,Generalsekret%C3%A4r%20der%20CDU%20Deutschlands%20gew%C3%A4hlt.
#060;Gerda;Hasselfeldt;Gesundheit;W;1991;1992;1959;32;CSU;Diplom-Volkswirtin (Univ.);7;https://de.wikipedia.org/wiki/Gerda_Hasselfeldt#:~:text=Gerda%20Hasselfeldt%20(geborene%20Rainer%2C%20*,bis%201992%20Bundesministerin%20f%C3%BCr%20Gesundheit.
#061;Hermann;Höcherl;Ernährung, Landwirtschaft und Forsten;M;1965;1969;1912;53;CSU;Große juristische Staatsprüfung;7;https://de.wikipedia.org/wiki/Hermann_H%C3%B6cherl#:~:text=Hermann%20H%C3%B6cherl%20(*%2031.,f%C3%BCr%20Ern%C3%A4hrung%2C%20Landwirtschaft%20und%20Forsten.
#062;Bodo;Hombach;Besondere Aufgaben;M;1998;1999;1952;46;SPD;Diplom-Sozialarbeiter;7;https://de.wikipedia.org/wiki/Bodo_Hombach#:~:text=Bodo%20Hombach%20(*%2019.,in%20der%20ersten%20Regierung%20Schr%C3%B6der.
#063;Gerhard;Jahn;Justiz;M;1969;1974;1927;42;SPD;2tes juristisches Staatsexam;7;https://nds.wikipedia.org/wiki/Gerhard_Jahn
#064;Manfred;Kanther;Inneres;M;1993;1998;1939;54;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Manfred_Kanther
#065;Anja;Karliczek;Bildung und Forschung;W;2018;2020;1971;47;CDU;Diplom-Kauffrau;7;https://de.wikipedia.org/wiki/Anja_Karliczek#:~:text=Anja%20Karliczek%20wuchs%20mit%20zwei,wurde%20dort%20als%20Angestellte%20%C3%BCbernommen.&text=Karliczek%20ist%20seit%201995%20mit%20dem%20Piloten%20Lothar%20Karliczek%20verheiratet.
#066;Ignaz;Kiechle;Ernährung, Landwirtschaft und Forsten;M;1983;1993;1930;53;CSU;Landwirtschaftlicher Lehrmeister;7;https://de.wikipedia.org/wiki/Ignaz_Kiechle
#067;Kurt Georg;Kiesinger;Bundeskanzler;M;1966;1969;1904;62;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Kurt_Georg_Kiesinger
#068;Reinhard;Klimmt;Verkehr, Bau- und Wohnungswesen;M;1999;2000;1942;57;SPD;Studium Geschichte;7;https://de.wikipedia.org/wiki/Reinhard_Klimmt#:~:text=Reinhard%20Klimmt%20(*%2016.,Verkehr%2C%20Bau%2D%20und%20Wohnungswesen.
#069;Julia;Klöckner;Ernährung und Landwirtschaft;W;2018;2020;1972;46;CDU;Magister Artium in Politikwissenschaften, Theologie und Pädagogik;7;https://de.wikipedia.org/wiki/Julia_Kl%C3%B6ckner#:~:text=Julia%20Kl%C3%B6ckner%20(*%2016.,Sie%20ist%20seit%20dem%2014.&text=Von%202002%20bis%202011%20war,f%C3%BCr%20Ern%C3%A4hrung%2C%20Landwirtschaft%20und%20Verbraucherschutz.
#070;Annegret;Kramp-Karrenbauer;Verteidigung;W;2019;2020;1962;57;CDU;Magistra Artium Rpolitk- und Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Annegret_Kramp-Karrenbauer
#071;Renate;Künast;Verbraucherschutz, Ernährung und Landwirtschaft;W;2001;2005;1955;46;Bündnis 90/Die Grünen;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Renate_K%C3%BCnast#:~:text=Renate%20Elly%20K%C3%BCnast%20(*%2015,2002%20Mitglied%20des%20Deutschen%20Bundestages.&text=Von%202014%20bis%20Januar%202018%20war%20sie%20Vorsitzende%20des%20Rechtsausschusses%20des%20Bundestages.
#072;Oskar;Lafontaine;Finanzen;M;1998;1999;1943;55;SPD;Diplomphysiker ;7;https://de.wikipedia.org/wiki/Oskar_Lafontaine
#073;Manfred;Lahnstein;Finanzen;M;1982;1982;1937;45;SPD;Diplom-Kaufmann;7;https://de.wikipedia.org/wiki/Manfred_Lahnstein#:~:text=Manfred%20Lahnstein%20(*%2020.,f%C3%BCr%20die%20Bertelsmann%20AG%20t%C3%A4tig.
#074;Christine;Lambrecht;Justiz und Verbraucherschutz;W;2019;2020;1965;54;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Christine_Lambrecht#:~:text=1982%20trat%20Christine%20Lambrecht%20in,Lambrecht%20Mitglied%20des%20Deutschen%20Bundestages.
#075;Ernst;Lemmer;Vertriebene, Flüchtlinge und Kriegsgeschädigte;M;1964;1965;1898;66;CDU;Studium Volkswirtschaft;7;https://de.wikipedia.org/wiki/Ernst_Lemmer
#076;Hans;Lenz;Wissenschaftliche Forschung;M;1962;1965;1907;55;FDP;1ste Philologischen Staatsexam;7;https://de.wikipedia.org/wiki/Hans_Lenz
#077;Sabine ;Leutheusse-Schnarrenberger;Justiz;W;2009;2013;1951;58;FDP;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Sabine_Leutheusser-Schnarrenberger
#078;Heiko;Maas;Auswärtiges;M;2018;2020;1966;52;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Heiko_Maas#:~:text=Heiko%20Josef%20Maas%20(*%2019,Ausw%C3%A4rtigen%20im%20Kabinett%20Merkel%20IV.&text=Von%202000%20bis%202018%20war,2004%2C%202009%20und%202012%20war.
#079;Hans;Matthöfer;Finanzen;M;1978;1982;1925;53;SPD;Dipl.-Volkswirt;7;https://de.wikipedia.org/wiki/Hans_Matth%C3%B6fer#:~:text=Hans%20Hermann%20Matth%C3%B6fer%20(*%2025,f%C3%BCr%20das%20Post%2D%20und%20Fernmeldewesen.
#080;Jürgen;Möllemann;Bildung und Wissenschaft;M;1987;1991;1945;42;FDP;Staatsexam Lehrämter der Sekundarstufe I;7;https://de.wikipedia.org/wiki/J%C3%BCrgen_M%C3%B6llemann#:~:text=J%C3%BCrgen%20Wilhelm%20M%C3%B6llemann%20(*%2015,ab%20Mai%201992%20zudem%20Vizekanzler.
#081;Andrea;Nahles;Arbeit und Soziales;W;2013;2017;1970;43;SPD;Magister Germanistik;7;https://de.wikipedia.org/wiki/Andrea_Nahles
#082;Alois;Niederalt;Angelegenheiten des Bundesrates und der Länder;M;1962;1966;1911;51;CSU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Alois_Niederalt
#083;Claudia ;Nolte;Familie, Senioren, Frauen und Jugend;W;1994;1998;1966;28;CDU;Diplom-Ingenieruin (Univ.);7;https://de.wikipedia.org/wiki/Claudia_Nolte#:~:text=Claudia%20Crawford%2C%20geborene%20Wiesem%C3%BCller%2C%20geschiedene,%2C%20Senioren%2C%20Frauen%20und%20Jugend.
#084;Rainer;Offergeld;Wirtschaftliche Zusammenarbeit;M;1978;1982;1937;41;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Rainer_Offergeld#:~:text=Rainer%20Offergeld%20(*%2026.,als%20Bundesminister%20f%C3%BCr%20wirtschaftliche%20Zusammenarbeit.
#085;Eduard;Oswald;Raumordnung, Bauwesen und Städtebau;M;1998;1998;1947;51;CSU;Staatsexam Lehrämter der Sekundarstufe I;7;https://de.wikipedia.org/wiki/Eduard_Oswald#:~:text=Oswald%20geh%C3%B6rte%20von%201972%20bis,der%20CDU%2FCSU%2DBundestagsfraktion.
#086;Ronald;Pofalla;Besondere Aufgaben;M;2009;2013;1959;50;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Ronald_Pofalla#:~:text=Ronald%20Pofalla%20(*%2015.,Bundestagsfraktion%20sowie%20Generalsekret%C3%A4r%20der%20CDU.
#087;Volker;Rühe;Verteidigung;M;1992;1998;1942;50;CDU;Staatsexam höheres Lehramt;7;https://de.wikipedia.org/wiki/Volker_R%C3%Bche
#088;Rudolf;Scharping;Verteidigung;M;1998;2002;1947;51;SPD;Magisterarbeit  Politikwissenschaft;7;https://de.wikipedia.org/wiki/Rudolf_Scharping#:~:text=Rudolf%20Albert%20Scharping%20(*%202,bis%202002%20Bundesminister%20der%20Verteidigung.
#089;Otto;Schily;Inneres;M;1998;2005;1932;66;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Otto_Schily#:~:text=Otto%20Georg%20Schily%20(*%2020,November%201989%20zur%20SPD%20wechselte.
#090;Marie;Schlei;Wirtschaftliche Zusammenarbeit;W;1976;1978;1919;57;SPD;Staatsexam Lehramt;7;https://de.wikipedia.org/wiki/Marie_Schlei#:~:text=Marie%20Schlei%2C%20geb.,1978%20Bundesministerin%20f%C3%BCr%20wirtschaftliche%20Zusammenarbeit.
#091;Christian;Schmidt;Ernährung und Landwirtschaft;M;2014;2018;1957;57;CSU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Christian_Schmidt#:~:text=Seit%201990%20ist%20Schmidt%20Mitglied,Europa)%20der%20CSU%2DLandesgruppe.&text=Von%201994%20bis%201998%20war,Vorsitzender%20der%20deutsch%2Dbritischen%20Parlamentariergruppe.
#092;Ulla;Schmidt;Gesundheit;W;2005;2009;1949;56;SPD;Staatsexam Lehramt;7;https://de.wikipedia.org/wiki/Ulla_Schmidt_(Politikerin,_1949)#:~:text=Schmidt%20war%20von%201989%20bis,sie%20Mitglied%20des%20Deutschen%20Bundestages.&text=Schmidt%20ist%201990%20und%201994,Aachen%20in%20den%20Bundestag%20eingezogen.
#093;Helmut;Schmidt;Auswärtiges;M;1982;1982;1918;64;SPD;Diplom-Volkswirt;7;https://de.wikipedia.org/wiki/Helmut_Schmidt#:~:text=Helmut%20Heinrich%20Waldemar%20Schmidt%20(*,f%C3%BCnfte%20Bundeskanzler%20der%20Bundesrepublik%20Deutschland.
#094;Olaf;Scholz;Finanzen;M;2018;2020;1958;60;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Olaf_Scholz
#095;Gerhard Fritz Kurt ;Schröder;Bundeskanzler;M;1998;2005;1944;54;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Gerhard_Schr%C3%B6der
#096;Svenja;Schulze;Umwelt, Naturschutz und nukleare Sicherheit;W;2018;2020;1968;50;SPD;Magister Germanistik und Politikwissenschaften;7;https://de.wikipedia.org/wiki/Svenja_Schulze#:~:text=Von%201993%20bis%201997%20war%20Schulze%20Landesvorsitzende%20der%20nordrhein%2Dwestf%C3%A4lischen,Mitglied%20des%20Landtags%20Nordrhein%2DWestfalen.
#097;Horst;Seehofer;Inneres, Bau und Heimat;M;2018;2020;1949;69;CSU;Diplom an der Verwaltungs- und Wirtschaftsakademie München;7;https://de.wikipedia.org/wiki/Horst_Seehofer
#098;Rudolf;Seiters;Inneres;M;1991;1993;1937;54;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Rudolf_Seiters#:~:text=Rudolf%20Seiters%20(*%2013.%20Oktober,2002%20Vizepr%C3%A4sident%20des%20Deutschen%20Bundestages.
#099;Jens;Spahn;Gesundheit;M;2018;2020;1980;38;CDU;Master of Arts in Politikwissenschaften;7;https://de.wikipedia.org/wiki/Jens_Spahn
#100;Carl-Dieter;Spranger;Wirtschafftliche Zusammenarbeit und Entwicklung;M;1993;1998;1939;54;CSU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Carl-Dieter_Spranger
#101;Peer;Steinbrücke;Finanzen;M;2005;2009;1947;58;SPD;Diplomvolkswirt (Univ.);7;https://de.wikipedia.org/wiki/Peer_Steinbr%C3%BCck
#102;Manfred;Stolpe;Verkehr, Bau- und Wohnungswesen;M;2002;2005;1936;66;SPD;Dipl.-Jurist;7;https://de.wikipedia.org/wiki/Manfred_Stolpe#:~:text=Manfred%20Stolpe%20(*%2016.,Verkehr%2C%20Bau%2D%20und%20Wohnungswesen.
#103;Franz Josef;Strauß;Finanzen;M;1966;1969;1915;51;CSU;2tes Staatsexam Lehramt;7;https://de.wikipedia.org/wiki/Franz_Josef_Strau%C3%9F
